Year,Film,Director,Cast,Notes,Ref
1895,Young Griffo vs. Battling Charles Barnett,Otway Latham,"Young Griffo, Charles Barnett",First American film shown to a paying audience,
1896,Arrivée d'un train gare de Vincennes,Georges Méliès,,A French short documentary,
1896,L'Arroseur (a.k.a. Watering the Flowers),Georges Méliès,,A short comedy,
1896,Barque sortant du port de Trouville,Georges Méliès,,,
1896,Bateau-mouche sur la Seine,Georges Méliès,,,
1896,Bébé et fillettes,Georges Méliès,,A short documentary,
1896,Les Blanchisseuses,Georges Méliès,,A short documentary,
1896,Bois de Boulogne (Porte de Madrid),Georges Méliès,,A short documentary,
1896,Bois de Boulogne (Touring Club),Georges Méliès,,A short documentary,
1896,Boulevard des Italiens,Georges Méliès,,A short documentary,
1896,Campement de bohémiens (The Bohemian Encampment),Georges Méliès,,A short documentary,
1896,Les chevaux de bois,Georges Méliès,,,
1896,Le chiffonnier,Georges Méliès,,,
1896,Couronnement de la rosière,Georges Méliès,,,
1896,Déchargement de bateaux,Georges Méliès,,,
1896,Jardinier brûlant des herbes,Georges Méliès,,,
1896,Jetée et Plage de Trouville (first and second parts),Georges Méliès,,,
1896,Jour de marché à Trouville,Georges Méliès,,,
1896,Gestoorde hengelaar,M.H. Laddé,"Lion Solser, Piet Hesse",The first Dutch fictional film,
1896,La Fée aux Choux,Alice Guy Blache,,The first narrative film directed by a woman,
1896,Spelende kinderen,M.H. Laddé,,,
1896,Zwemplaats voor Jongelingen te Amsterdam,M.H. Laddé,,,
1898,Ten Years in Manitoba,James Freer,,Documentary film. First film known to have been directed by a Canadian.,
1900,Solser en Hesse,M.H. Laddé,"Lion Solser, Piet Hesse","The first film with this title, featuring the Dutch comedians Lion Solser and Piet Hesse",
1902,The Adventures of the Cabman,Kazimierz Prószyński,,The first Polish fiction film,
1903,"Hiawatha, the Messiah of the Ojibway",Joe Rosenthal,,Believed to be the first Canadian fiction film,
1906,Solser en Hesse,M.H. Laddé,"Lion Solser, Piet Hesse","The second film with this title, featuring the Dutch comedians Lion Solser and Piet Hesse",
1907,Salaviinanpolttajat,"Louis Sparre,
 Teuvo Puro","Teppo Raikas,
 Teuvo Puro,
 Jussi Snellman,
 Eero Kilpi,
 Axel Rautio","The first Finnish fiction film. Some sources also consider it to be the first Russian fiction film, as Finland was a part of the Russian Empire until 1917.",
1908,A Christmas Carol,,Tom Ricketts,The first American film adaptation of Charles Dickens' famous 1843 novella of the same name.,
1908,The Fairylogue and Radio-Plays,"Francis Boggs, Otis Turner","L. Frank Baum, Romola Remus","First adaptation of The Wonderful Wizard of Oz and several of its sequels. Shown only in roadshow engagements as part of a live theater presentation, the print decomposed and was discarded.[citation needed]",
1908,La Tosca,André Calmettes,"Sarah Bernhardt, Pierre Berton, Félicia Mallet","The second film starring Bernhardt, the best known stage actress of the 1880s–1900s. Based on the play by Victorien Sardou that was adapted into an opera by Giacomo Puccini.",
1928,Alias Jimmy Valentine,Jack Conway,"William Haines, Lionel Barrymore","This part-talkie was MGM's first film with synchronized dialogue sequences. It was also released as a silent film, which is similarly lost.",
1928,4 Devils,F.W. Murnau,Janet Gaynor,"Fox Studios' print was reportedly borrowed by actress Mary Duncan, who played a supporting role in the film, but its whereabouts are now unknown.",
1928,Heart Trouble,Harry Langdon,Harry Langdon,"Langdon's last silent feature received little promotion in the United States, with fewer than 100 prints struck.  There were reported showings in Australia in 1931.",
1928,The Home Towners,Bryan Foy,"Doris Kenyon, Richard Bennett",Warner Bros.' third all-talking feature,
